iter	Passed	Remaining
495	1273	1293
496	1274	1289
497	1275	1286
498	1281	1287
499	1283	1283
500	1284	1279
501	1287	1277
502	1290	1274
503	1291	1271
504	1296	1270
505	1298	1267
506	1299	1263
507	1301	1260
508	1302	1255
509	1302	1251
510	1303	1247
511	1305	1243
512	1306	1240
513	1312	1240
514	1314	1237
515	1315	1233
516	1316	1230
517	1317	1226
518	1319	1222
519	1320	1218
520	1321	1215
521	1330	1218
522	1331	1214
523	1333	1210
524	1333	1206
525	1334	1202
526	1335	1198
527	1336	1194
528	1337	1190
529	1342	1190
530	1343	1186
531	1345	1183
532	1346	1180
533	1348	1176
534	1349	1172
535	1350	1168
536	1352	1166
537	1355	1164
538	1357	1160
539	1358	1157
540	1359	1153
541	1360	1149
542	1361	1145
543	1362	1141
544	1363	1137
545	1369	1138
546	1371	1135
547	1374	1133
548	1374	1129
549	1375	1125
550	1376	1121
551	1377	1117
552	1378	1113
553	1378	1109
554	1385	1110
555	1386	1106
556	1387	1103
557	1387	1099
558	1388	1095
559	1389	1091
560	1390	1087
561	1390	1083
562	1391	1080
563	1392	1076
564	1393	1073
565	1402	1075
566	1403	1071
567	1404	1068
568	1405	1064
569	1405	1060
570	1406	1056
571	1407	1053
572	1407	1049
573	1408	1045
574	1409	1041
575	1418	1044
576	1419	1040
577	1420	1036
578	1420	1033
579	1421	1029
580	1422	1025
581	1422	1022
582	1423	1018
583	1424	1014
584	1425	1011
585	1430	1010
586	1433	1008
587	1434	1005
588	1435	1001
589	1436	998
590	1437	994
591	1450	999
592	1452	996
593	1468	1003
594	1478	1006
595	1482	1005
596	1484	1001
597	1487	999
598	1493	999
599	1494	996
600	1495	993
601	1496	989
602	1497	985
603	1498	982
604	1499	978
605	1500	975
606	1507	975
607	1511	974
608	1512	971
609	1513	967
610	1514	964
611	1515	960
612	1515	956
613	1525	959
614	1526	955
615	1527	952
616	1528	948
617	1528	945
618	1529	941
619	1530	937
620	1531	934
621	1538	935
622	1541	932
623	1542	929
624	1542	925
625	1543	922
626	1544	918
627	1544	915
628	1545	911
629	1546	908
630	1547	904
631	1551	903
632	1554	901
633	1555	897
634	1556	894
635	1557	891
636	1558	888
637	1559	884
638	1559	881
639	1560	877
640	1571	879
641	1574	877
642	1575	874
643	1576	871
644	1580	869
645	1584	868
646	1585	864
647	1585	861
648	1586	858
649	1587	854
650	1587	851
651	1588	847
652	1589	844
653	1593	843
654	1595	840
655	1598	838
656	1600	835
657	1600	832
658	1601	828
659	1602	825
660	1603	822
661	1603	818
662	1604	815
663	1616	818
664	1617	814
665	1618	811
666	1619	808
667	1619	805
668	1620	801
669	1629	802
670	1630	799
671	1632	796
672	1632	793
673	1633	790
674	1634	786
675	1635	783
676	1635	780
677	1636	777
678	1643	777
679	1645	774
680	1646	771
681	1646	767
682	1647	764
683	1648	761
684	1649	758
685	1650	755
686	1651	752
687	1651	749
688	1656	747
689	1657	744
690	1660	742
691	1662	740
692	1680	744
693	1684	742
694	1691	742
695	1692	739
696	1693	736
697	1694	733
698	1695	730
699	1696	727
700	1697	723
701	1697	720
702	1700	718
703	1702	715
704	1703	712
705	1704	709
706	1705	706
707	1706	703
708	1707	700
709	1708	697
710	1708	694
711	1711	692
712	1712	689
713	1713	686
714	1714	683
715	1714	680
716	1715	677
717	1717	674
718	1726	674
719	1727	671
720	1728	668
721	1729	665
722	1730	662
723	1731	659
724	1738	659
725	1739	656
726	1741	654
727	1743	651
728	1744	648
729	1745	645
730	1763	649
731	1768	647
732	1770	644
733	1779	644
734	1782	642
735	1785	640
736	1787	637
737	1789	635
738	1790	632
739	1791	629
740	1792	626
741	1793	623
742	1796	621
743	1798	618
744	1802	617
745	1805	614
746	1807	612
747	1808	609
748	1813	607
749	1815	605
750	1817	602
751	1818	599
752	1840	603
753	1843	601
754	1845	598
755	1846	596
756	1848	593
757	1849	590
758	1851	587
759	1852	584
760	1853	582
761	1854	579
762	1857	577
763	1860	574
764	1861	571
765	1862	569
766	1864	566
767	1865	563
768	1867	560
769	1868	558
770	1869	555
771	1872	552
772	1911	561
773	1912	558
774	1913	555
775	1916	553
776	1917	550
777	1921	548
778	1939	550
779	1941	547
780	1945	545
781	1947	542
782	1955	541
783	1957	539
784	1960	536
785	1961	534
786	1963	531
787	1967	529
788	1969	526
789	1971	524
790	1975	521
791	1993	523
792	1996	521
793	2003	519
794	2004	517
795	2007	514
796	2010	512
797	2015	510
798	2019	507
799	2020	505
800	2021	502
801	2022	499
802	2023	496
803	2024	493
804	2025	490
805	2026	487
806	2029	485
807	2032	482
808	2033	480
809	2034	477
810	2037	474
811	2038	471
812	2039	469
813	2040	466
814	2042	463
815	2045	461
816	2048	458
817	2049	455
818	2060	455
819	2061	452
820	2063	449
821	2064	446
822	2064	444
823	2065	441
824	2069	439
825	2073	436
826	2076	434
827	2077	431
828	2078	428
829	2079	425
830	2079	422
831	2080	420
832	2086	418
833	2088	415
834	2091	413
835	2092	410
836	2093	407
837	2094	404
838	2102	403
839	2104	400
840	2106	398
841	2107	395
842	2108	392
843	2109	389
844	2113	387
845	2115	385
846	2117	382
847	2120	380
848	2123	377
849	2124	374
850	2138	374
851	2142	372
852	2144	369
853	2145	366
854	2150	364
855	2152	362
856	2154	359
857	2156	356
858	2159	354
859	2161	351
860	2171	350
861	2176	348
862	2181	346
863	2183	343
864	2185	341
865	2186	338
866	2193	336
867	2195	333
868	2197	331
869	2198	328
870	2200	325
871	2201	323
872	2207	321
873	2210	318
874	2212	316
875	2214	313
876	2216	310
877	2223	308
878	2224	306
879	2231	304
880	2233	301
881	2244	300
882	2246	297
883	2247	294
884	2249	292
885	2256	290
886	2258	287
887	2259	284
888	2260	282
889	2262	279
890	2263	276
891	2264	274
892	2271	272
893	2273	269
894	2280	267
895	2290	265
896	2291	263
897	2292	260
898	2293	257
899	2294	254
900	2295	252
901	2304	250
902	2309	248
903	2310	245
904	2311	242
905	2312	239
906	2317	237
907	2318	234
908	2332	233
909	2333	230
910	2334	228
911	2335	225
912	2342	223
913	2346	220
914	2349	218
915	2351	215
916	2361	213
917	2365	211
918	2367	208
919	2376	206
920	2377	203
921	2378	201
922	2379	198
923	2380	195
924	2381	193
925	2383	190
926	2390	188
927	2393	185
928	2394	183
929	2396	180
930	2397	177
931	2398	175
932	2407	172
933	2408	170
934	2409	167
935	2410	164
936	2412	162
937	2413	159
938	2414	156
939	2420	154
940	2422	151
941	2424	149
942	2426	146
943	2427	144
944	2428	141
945	2429	138
946	2439	136
947	2440	133
948	2442	131
949	2443	128
950	2444	125
951	2445	123
952	2447	120
953	2450	118
954	2451	115
955	2452	112
956	2455	110
957	2455	107
958	2456	105
959	2457	102
960	2458	99
961	2459	97
962	2470	94
963	2471	92
964	2472	89
965	2473	87
966	2474	84
967	2475	81
968	2480	79
969	2482	76
970	2484	74
971	2485	71
972	2486	68
973	2487	66
974	2487	63
975	2488	61
976	2489	58
977	2490	56
978	2492	53
979	2494	50
980	2496	48
981	2496	45
982	2497	43
983	2498	40
984	2499	38
985	2499	35
986	2500	32
987	2501	30
988	2501	27
989	2506	25
990	2511	22
991	2512	20
992	2512	17
993	2513	15
994	2514	12
995	2515	10
996	2516	7
997	2516	5
998	2526	2
999	2527	0
